.npmrc	1	secret	Same private registry _authToken committed in cleartext at repo root	2026-09-20 23:00:00
.yarnrc.yml	9	secret	Private npm registry auth token committed as npmAuthToken	2026-09-20 23:00:00
firestore.rules	5	shop_scoping	Seven collections are `read: if true` with no shopId scoping while the frontend reads Firestore directly	2026-09-06 23:13:57
firestore.rules	7	shop_scoping	Nine collections re-opened world-readable with no shopId predicate; two are world-writable	2026-09-20 23:00:00
firestore.rules	8	shop_scoping	Seven per-shop collections are `read: if true` with no shopId scoping in the rules	2026-09-19 23:00:00
firestore.rules	25	authn	`featureReq` and `commentFeatureReq` are anonymously readable AND writable	2026-09-06 23:13:57
firestore.rules	26	shop_scoping	featureReq and commentFeatureReq are `allow read, write: if true` — anonymous cross-shop writes	2026-09-11 23:06:11
packages/assets/src/pages/PartnerKey/PartnerKey.js	53	credential_exposure	`GET /api/integration/keys?name=` returns any integration's access token to any authenticated merchant	2026-09-06 23:13:57
packages/functions/.npmrc	1	secret	Private registry _authToken duplicated inside the functions package	2026-09-20 23:00:00
packages/functions/src/commands/autoTranslateV2.js	7	secret	Google Cloud Translate API key hardcoded in the translation command	2026-09-20 23:00:00
packages/functions/src/commands/getAT.js	4	credential_exposure	A production shop's Shopify access token ciphertext is committed, next to a decrypt-and-print utility	2026-09-20 23:00:00
packages/functions/src/controllers/devController.js	86	authn	GET/POST /api/dev (testOnly) has no DevZone gate — only verifyEmbedRequest, so any installed merchant can run dev actions	2026-09-14 23:00:05
packages/functions/src/controllers/devController.js	115	authn	/api/dev?x=batch_create_reviews wipes and reseeds the global `reviews` collection for any merchant	2026-09-15 23:00:05
packages/functions/src/controllers/devController.js	436	shop_scoping	dev download_log/preview_log sign an arbitrary caller-supplied Storage path	2026-09-04 23:03:05
packages/functions/src/controllers/devController.js	437	shop_scoping	download_log / preview_log take an arbitrary Storage path from the request body with no shop check	2026-09-03 23:08:07
packages/functions/src/controllers/devController.js	439	shop_scoping	/api/dev?x=download_log (and preview_log, recalculate_from_jsonl) signs or reads any Storage path the caller supplies	2026-09-10 23:09:53
