.npmrc	1	secret	Committed private npm registry auth token (registry.avada.io)	2026-09-15 23:00:05
.yarnrc.yml	12	secret	Same registry token duplicated as npmAuthToken in tracked .yarnrc.yml	2026-09-14 23:00:05
extensions/firestore-bigquery-export.env	4	credential_exposure	Whole `shops` documents — which carry accessToken/accessTokenHash — mirrored into BigQuery with no field filter	2026-09-09 23:00:05
extensions/firestore-bigquery-export.env	20	credential_exposure	The whole `shops` collection is streamed to BigQuery and through an external transform endpoint with no field exclusion	2026-08-30 23:00:00
firestore.rules	8	authn	`generateBulk` and its `items` subcollection are world read+write from any client	2026-09-13 23:00:00
packages/functions/.npmrc	1	secret	Third committed copy of the registry token in packages/functions/.npmrc	2026-09-14 23:00:05
packages/functions/src/commands/getAccessToken.js	7	credential_exposure	CLI command decrypts and prints a merchant's Shopify access token in plaintext	2026-09-15 23:00:05
packages/functions/src/commands/testAuth.js	14	secret	Hardcoded Google OAuth client secret (GOCSPX- format) in a committed script	2026-09-05 23:13:02
packages/functions/src/config/pickFields.js	236	untrusted_input	AICreditQuota is in neither blockFields nor privilegedFields, so a merchant can self-grant credits via POST /api/shop	2026-09-20 23:00:00
packages/functions/src/const/appIntegationKeys.js	2	secret	Live cross-app integration access tokens hardcoded in the source tree	2026-08-26 03:23:04
packages/functions/src/controllers/aiChatController.js	67	untrusted_input	AI credit cost for the `faqs` action is read from request body `numberOfFaqs`, allowing a negative cost that refunds credits	2026-09-13 23:00:00
packages/functions/src/controllers/analysisController.js	408	shop_scoping	GET /api/analysis/:type/:id returns another shop's analysis document	2026-09-09 23:00:05
packages/functions/src/controllers/analysisController.js	429	shop_scoping	GET /analysis/:type/:id returns another shop's analysis doc	2026-09-13 23:00:00
packages/functions/src/controllers/analysisController.js	624	shop_scoping	POST /publish-resource/:type/:id reads and overwrites another shop's analysis doc	2026-09-13 23:00:00
packages/functions/src/controllers/analysisController.js	666	shop_scoping	publishResource overwrites another shop's analysis doc and re-stamps it with the attacker's shopID	2026-09-09 23:00:05
packages/functions/src/controllers/analysisController.js	762	shop_scoping	GET /api/analysis/:type/:id/meta-tags returns another shop's analysis doc as auditData	2026-09-09 23:00:05
